순번,코드,위치,수평범위,수직범위,특기사항
1,UA 2,구성산,354421N1270027E 반경 1.8 KM (1.0 NM),500FT AGL,
2,UA 3,약산,354421N1282502E 반경 0.7 KM (0.4NM),500FT AGL,
3,UA 4,봉화산,353731N1290532E 반경 4.0 KM (2.2NM),500FT AGL,
4,UA 5,덕두산,352441N1273157E 반경 4.5 KM (2.4 NM),500FT AGL,
5,UA 6,금산,344411N1275852E 반경 2.1 KM (1.1 NM),500FT AGL,
6,UA 7,홍산,354941N1270452E 반경 1.2 KM (0.7 NM),500FT AGL,
7,UA 9,양평,373010N1272300E - 373010N1273200E - 372700N1273200E - 372700N1272300E,500FT AGL,
8,UA 10,고창,352311N1264353E 반경 4.0 KM (2.2 NM),500FT AGL,
9,UA 14,공주,363225N1265614E - 363045N1265746E - 363002N1270713E - 362604N1270553E - 362805N1265427E - 363141N1265417E,500FT AGL,
10,UA 19,시화,371751N1264215E - 371724N1265000E - 371430N1265000E - 371315N1264628E - 371245N1264029E - 371244N1263342E - 371414N1263319E,500FT AGL,
11,UA 20,성화대,344157N1263101E 반경 5.4 KM (3 NM),500FT AGL,
12,UA 21,방장산,352658N1264417E 반경 3.0 KM (1.6 NM),500FT AGL,
13,UA 22,고흥,343640N1271221E 반경 5.6 KM (3.0 NM),500FT AGL,
14,UA 23,담양,352030N1270148E 반경 5.6 KM (3.0 NM),500FT AGL,
15,UA 24,구좌,332841N1264922E 반경 2.8 KM (1.5 NM),500FT AGL,
16,UA 25,하동,350147N1274325E - 350145N1274741E - 345915N1274739E - 345916N1274324E,500FT AGL,
17,UA 26,장암산,372338N1282419E - 372410N1282810E - 372153N1282610E - 372211N1282331E,500FT AGL,
18,UA 27,마악산,331800N1263316E 반경 1.2 KM (0.7 NM),500FT AGL,
19,UA 28,서운산,365550N1271659E 반경 2.0 KM (1.1 NM),500FT AGL,
20,UA 29,오촌,365711N1271716E 반경 2.0 KM (1.1 NM),500FT AGL,
21,UA 30,북좌,370242N1271940E 반경 2.0 KM (1.1 NM),500FT AGL,
22,UA 31,청라,373354N1263730E - 373400N1263744E - 373351N1263750E - 373345N1263736E,500FT AGL,무인비행장치 전용구역
23,UA 32,퇴촌,372800N1271809E 반경 0.3 KM (0.2 NM),500FT AGL,무인비행장치 전용구역
24,UA 33,병천천,363904N1272103E - 363902N1272111E - 363850N1272106E - 363852N1272059E,500FT AGL,무인비행장치 전용구역
25,UA 34,미호천,363710N1272048E - 363705N1272105E - 363636N1272049E - 363650N1272033E,500FT AGL,무인비행장치 전용구역
26,UA 35,김해,352057N1284815E - 352101N1284825E - 352047N1284833E - 352043N1284823E,500FT AGL,무인비행장치 전용구역
27,UA 36,밀양,352801N1284642E - 352729N1284714E - 352717N1284659E - 352750N1284627E,500FT AGL,무인비행장치 전용구역
28,UA 37,창원,352238N1283856E - 352238N1283931E - 352216N1283931E - 352213N1283921E - 352213N1283856E,500FT AGL,무인비행장치 전용구역
29,UA 38,울주,353129N1290947E - 353128N1290957E - 353130N1291001E - 353126N1291003E - 353124N1291001E - 353125N1290946E,500FT AGL,무인비행장치 전용구역
30,UA 39,김제,355435N1265304E - 355454N1265257E - 355458N1265339E - 355437N1265420E - 355420N1265408E - 355439N1265331E,500FT AGL,무인비행장치 전용구역
31,UA 40,고령,355034N1282639E 반경 80M (0.05 NM),500FT AGL,무인비행장치 전용구역
32,UA 41,대전,362754N1272326E - 362757N1272427E - 362710N1272439E - 362707N1272306E,500FT AGL,무인비행장치 전용구역
33,UA 42,광주,351318N1285142E 반경 50M (0.03NM),500FT AGL,무인비행장치 실기시험 전용구역
34,UA 43,영월,371036N1282739E - 371031N1282745E - 371029N1282743E - 371034N1282737E,500FT AGL,무인비행장치 실기시험 전용구역
